value,trial_type,cued
2.9723483551400545,same,cued
2.808314466099848,same,cued
3.0180710775184973,same,cued
2.9341685108500095,same,cued
2.756454454064989,same,cued
3.019563297624012,same,cued
3.2526173642250558,same,uncued
3.0057935105280937,same,uncued
3.2290394485458442,same,uncued
3.010158468875328,same,uncued
2.8168132108508295,same,uncued
2.7057563105935927,same,uncued
3.557843784925998,other,cued
2.9044088157878685,other,cued
2.772737515781476,other,cued
2.848030118228448,other,cued
3.3709220103133295,other,cued
3.389539729964165,other,cued
3.549272960343584,other,uncued
2.282164628472529,other,uncued
2.819146574345116,other,uncued
3.0685665071742543,other,uncued
2.8651203163348784,other,uncued
3.417591122262477,other,uncued
