electrode,value,freq,cued
Pz,14.679712537070055,56,56
P2,9.382992068889285,56,56
Oz,12.434080951893556,56,56
P1,8.412072996357411,56,56
POz,2.1272937065363613,56,56
PO4,2.055776998745428,56,56
Pz,9.574152638003737,60,56
P2,10.718712175110593,60,56
Oz,5.80379133363884,60,56
P1,3.369155462752316,60,56
POz,2.8528373251782884,60,56
PO4,3.1928016600874023,60,56
Pz,19.720192258817498,56,60
P2,9.155199956988715,56,60
Oz,13.818595681284872,56,60
P1,16.91250559354184,56,60
POz,1.6170076368431057,56,60
PO4,1.082045253053777,56,60
Pz,15.498799518641603,60,60
P2,14.296259128939381,60,60
Oz,6.631635249428081,60,60
P1,5.164051310579059,60,60
POz,1.4667948346337065,60,60
PO4,4.167179054367198,60,60
