electrode,variable,value,frequency
O2,0,,1.3044585987261148
PO4,0,,1.3044585987261148
PO8,0,,1.3044585987261148
P8,0,,1.3044585987261148
P4,0,,1.3044585987261148
P6,0,,1.3044585987261148
P2,0,,1.3044585987261148
P1,0,,1.3044585987261148
P3,0,,1.3044585987261148
P5,0,,1.3044585987261148
P7,0,,1.3044585987261148
PO7,0,,1.3044585987261148
PO3,0,,1.3044585987261148
O1,0,,1.3044585987261148
Pz,0,,1.3044585987261148
POz,0,,1.3044585987261148
Oz,0,,1.3044585987261148
Iz,0,,1.3044585987261148
O2,1,,1.7392781316348196
PO4,1,,1.7392781316348196
PO8,1,,1.7392781316348196
P8,1,,1.7392781316348196
P4,1,,1.7392781316348196
P6,1,,1.7392781316348196
P2,1,,1.7392781316348196
P1,1,,1.7392781316348196
P3,1,,1.7392781316348196
P5,1,,1.7392781316348196
P7,1,,1.7392781316348196
PO7,1,,1.7392781316348196
PO3,1,,1.7392781316348196
O1,1,,1.7392781316348196
Pz,1,,1.7392781316348196
POz,1,,1.7392781316348196
Oz,1,,1.7392781316348196
Iz,1,,1.7392781316348196
O2,2,,2.1740976645435244
PO4,2,,2.1740976645435244
PO8,2,,2.1740976645435244
P8,2,,2.1740976645435244
P4,2,,2.1740976645435244
P6,2,,2.1740976645435244
P2,2,,2.1740976645435244
P1,2,,2.1740976645435244
P3,2,,2.1740976645435244
P5,2,,2.1740976645435244
P7,2,,2.1740976645435244
PO7,2,,2.1740976645435244
PO3,2,,2.1740976645435244
O1,2,,2.1740976645435244
Pz,2,,2.1740976645435244
POz,2,,2.1740976645435244
Oz,2,,2.1740976645435244
Iz,2,,2.1740976645435244
O2,3,,2.6089171974522296
PO4,3,,2.6089171974522296
PO8,3,,2.6089171974522296
P8,3,,2.6089171974522296
P4,3,,2.6089171974522296
P6,3,,2.6089171974522296
P2,3,,2.6089171974522296
P1,3,,2.6089171974522296
P3,3,,2.6089171974522296
P5,3,,2.6089171974522296
P7,3,,2.6089171974522296
PO7,3,,2.6089171974522296
PO3,3,,2.6089171974522296
O1,3,,2.6089171974522296
Pz,3,,2.6089171974522296
POz,3,,2.6089171974522296
Oz,3,,2.6089171974522296
Iz,3,,2.6089171974522296
O2,4,,3.0437367303609344
PO4,4,,3.0437367303609344
PO8,4,,3.0437367303609344
P8,4,,3.0437367303609344
P4,4,,3.0437367303609344
P6,4,,3.0437367303609344
P2,4,,3.0437367303609344
P1,4,,3.0437367303609344
P3,4,,3.0437367303609344
P5,4,,3.0437367303609344
P7,4,,3.0437367303609344
PO7,4,,3.0437367303609344
PO3,4,,3.0437367303609344
O1,4,,3.0437367303609344
Pz,4,,3.0437367303609344
POz,4,,3.0437367303609344
Oz,4,,3.0437367303609344
Iz,4,,3.0437367303609344
O2,5,,3.478556263269639
PO4,5,,3.478556263269639
PO8,5,,3.478556263269639
P8,5,,3.478556263269639
P4,5,,3.478556263269639
P6,5,,3.478556263269639
P2,5,,3.478556263269639
P1,5,,3.478556263269639
P3,5,,3.478556263269639
P5,5,,3.478556263269639
P7,5,,3.478556263269639
PO7,5,,3.478556263269639
PO3,5,,3.478556263269639
O1,5,,3.478556263269639
Pz,5,,3.478556263269639
POz,5,,3.478556263269639
Oz,5,,3.478556263269639
Iz,5,,3.478556263269639
O2,6,,3.913375796178344
PO4,6,,3.913375796178344
PO8,6,,3.913375796178344
P8,6,,3.913375796178344
P4,6,,3.913375796178344
P6,6,,3.913375796178344
P2,6,,3.913375796178344
P1,6,,3.913375796178344
P3,6,,3.913375796178344
P5,6,,3.913375796178344
P7,6,,3.913375796178344
PO7,6,,3.913375796178344
PO3,6,,3.913375796178344
O1,6,,3.913375796178344
Pz,6,,3.913375796178344
POz,6,,3.913375796178344
Oz,6,,3.913375796178344
Iz,6,,3.913375796178344
O2,7,0.03834699986005323,4.348195329087049
PO4,7,0.4565572334652775,4.348195329087049
PO8,7,1.2159301364272728,4.348195329087049
P8,7,1.8699970086867304,4.348195329087049
P4,7,0.013126678717826799,4.348195329087049
P6,7,2.0218694354873357,4.348195329087049
P2,7,0.42885493772807953,4.348195329087049
P1,7,0.4607517622739159,4.348195329087049
P3,7,0.3996354210243783,4.348195329087049
P5,7,1.4295214730295438,4.348195329087049
P7,7,1.3807980736848993,4.348195329087049
PO7,7,1.2352525778704178,4.348195329087049
PO3,7,0.7789759263302948,4.348195329087049
O1,7,0.23822628570308121,4.348195329087049
Pz,7,0.5753601299641963,4.348195329087049
POz,7,0.617504324934349,4.348195329087049
Oz,7,0.2570724188885413,4.348195329087049
Iz,7,0.6481226324481743,4.348195329087049
O2,8,0.4207677019046021,4.7830148619957535
PO4,8,0.3223370217915415,4.7830148619957535
PO8,8,0.5836201215594115,4.7830148619957535
P8,8,0.5571329874047294,4.7830148619957535
P4,8,0.03178475533491873,4.7830148619957535
P6,8,0.5495990946385056,4.7830148619957535
P2,8,0.13205737131607545,4.7830148619957535
P1,8,0.19455850478314407,4.7830148619957535
P3,8,0.6307641633206253,4.7830148619957535
P5,8,0.48078412076928384,4.7830148619957535
P7,8,0.4513878576953735,4.7830148619957535
PO7,8,0.5062368462672675,4.7830148619957535
PO3,8,1.1592879324149343,4.7830148619957535
O1,8,0.4745462021282865,4.7830148619957535
Pz,8,0.16133165420898724,4.7830148619957535
POz,8,0.4019597184582902,4.7830148619957535
Oz,8,0.5211692969982565,4.7830148619957535
Iz,8,0.5261469273952318,4.7830148619957535
O2,9,0.50138507908947,5.217834394904459
PO4,9,1.0651860994179057,5.217834394904459
PO8,9,0.5873999839653142,5.217834394904459
P8,9,0.7291775191876173,5.217834394904459
P4,9,0.40846517221696965,5.217834394904459
P6,9,0.5450195098640159,5.217834394904459
P2,9,0.7847365802357384,5.217834394904459
P1,9,0.888090902248124,5.217834394904459
P3,9,2.193365656843484,5.217834394904459
P5,9,1.1913224591513452,5.217834394904459
P7,9,1.104237366910334,5.217834394904459
PO7,9,0.8800592084850701,5.217834394904459
PO3,9,1.677264228901987,5.217834394904459
O1,9,0.5143755210102072,5.217834394904459
Pz,9,0.574314538165338,5.217834394904459
POz,9,0.8923700595918613,5.217834394904459
Oz,9,0.1824136254468755,5.217834394904459
Iz,9,0.6882775943387685,5.217834394904459
