value,cued,prepost
3.0465598905688562,cued,pre
4.294308706605301,cued,pre
2.970843982877985,cued,pre
3.240662825980352,cued,pre
3.4359626640538865,cued,pre
2.8963441034189508,cued,pre
3.512494882308222,cued,post
2.6901961146512443,cued,post
2.865868440548376,cued,post
3.2540049997101343,cued,post
2.5809412154214137,cued,post
2.5650112264728246,cued,post
3.0846646967070828,uncued,pre
2.655562375217439,uncued,pre
2.761635038947696,uncued,pre
2.7393084980810203,uncued,pre
2.89308699452909,uncued,pre
3.200564891780184,uncued,pre
4.086231594209122,uncued,post
2.7167600346316974,uncued,post
3.548255556819427,uncued,post
4.043405962376656,uncued,post
3.132309211499533,uncued,post
2.411838283925737,uncued,post
