max_avg_over_ch_crosscor,pre/post_cue,cued/uncued_tag
32.229188318776075,postcue,cued
35.019476178852216,postcue,cued
39.373479754987436,postcue,cued
34.95148635456658,postcue,cued
37.77331499005596,postcue,cued
33.02704469319185,postcue,cued
36.63369836215369,postcue,cued
35.23283801075643,postcue,cued
41.32666692832791,postcue,cued
33.749233397838445,postcue,cued
32.208003355113625,postcue,cued
33.17736419464911,postcue,cued
34.945753634590154,postcue,cued
40.60670041156211,postcue,cued
34.33746471931523,postcue,cued
38.01254063599241,postcue,cued
37.94909315676443,postcue,cued
35.521336457947925,postcue,cued
35.167461717868015,postcue,cued
38.195604141327806,postcue,cued
50.48972787864853,postcue,cued
35.798746464718654,postcue,cued
35.10775692726936,postcue,cued
45.70553039397879,postcue,cued
38.47615338712688,postcue,cued
34.657135325085214,postcue,cued
45.05546601396816,postcue,cued
29.88218811556553,postcue,cued
41.29838874076025,postcue,cued
38.54802349308148,postcue,cued
39.261155538409604,postcue,cued
35.54725185306878,postcue,cued
38.2468275779549,postcue,cued
31.2084215991222,postcue,cued
34.77555715390387,postcue,cued
32.635018457098575,postcue,cued
35.88183596845956,postcue,cued
40.57124328540536,postcue,cued
43.429219886228964,postcue,cued
38.737179183703766,postcue,cued
47.285690885110576,postcue,cued
30.938649574748666,postcue,cued
35.70151669664491,postcue,cued
40.65408274280798,postcue,cued
32.774984228419385,postcue,cued
47.722848123531215,postcue,cued
34.21590738440066,postcue,cued
48.16528642870219,postcue,cued
39.86543085216346,postcue,cued
31.671675189011385,postcue,cued
34.298145333784895,postcue,cued
34.95654163409866,postcue,cued
33.6475529933283,postcue,cued
29.011683766108234,postcue,cued
35.87452915741948,postcue,cued
38.937315964274255,postcue,cued
36.17931349734601,postcue,cued
37.735557999969814,postcue,cued
37.45500157161967,postcue,cued
37.75246301925301,postcue,cued
44.65197044373707,postcue,cued
34.50064602623657,postcue,cued
37.94747517565555,postcue,cued
40.60323935839593,postcue,cued
37.94249546570562,postcue,cued
32.69228175148902,postcue,cued
31.21837570824201,postcue,cued
32.272570341862426,postcue,cued
33.42261533255071,postcue,cued
32.013937655439015,postcue,cued
34.99677972837545,postcue,cued
38.0909058000454,postcue,cued
32.9268844169356,postcue,cued
37.56586754086044,postcue,cued
42.94401856600488,postcue,cued
42.981333173514166,postcue,cued
66.35594086477539,postcue,cued
46.55122490151692,postcue,cued
32.134820844327216,postcue,cued
38.07370186662417,postcue,cued
34.17463132056119,postcue,cued
43.6728285813663,postcue,cued
53.4552004861089,postcue,cued
41.29629628938731,postcue,cued
37.04903112339228,postcue,cued
40.612206351039305,postcue,cued
38.161309997056385,postcue,cued
55.5108917492405,postcue,cued
31.46933401660047,postcue,cued
43.41718039149265,postcue,cued
34.486082320736024,postcue,cued
34.01263319520479,postcue,cued
55.26731600289571,postcue,cued
32.41554709208584,postcue,cued
47.24756588117421,postcue,cued
28.792960338735913,postcue,cued
36.13981533159861,postcue,cued
42.40005681211759,postcue,cued
28.615704946732986,postcue,cued
36.165688954554916,postcue,cued
34.56198582500525,postcue,cued
41.98476599589427,postcue,cued
30.485974262994855,postcue,cued
36.248323236117095,postcue,cued
30.73328814824853,postcue,cued
35.75199833901338,postcue,cued
32.77085381275475,postcue,cued
32.65893623147756,postcue,cued
32.22399145198673,postcue,cued
40.04542118486278,postcue,cued
30.159281758267042,postcue,cued
40.748618725813905,postcue,cued
33.022627452226196,postcue,cued
35.126897494442815,postcue,cued
43.66883800052285,postcue,cued
36.54808106568531,postcue,cued
42.445181919595136,postcue,cued
38.41757477147866,postcue,cued
32.92239113670589,postcue,cued
32.68016961904292,postcue,cued
39.858194509955126,postcue,cued
43.42867295973142,postcue,cued
32.877282068050356,postcue,cued
48.96557222036555,postcue,cued
28.51827182447793,postcue,cued
34.079446490223575,postcue,cued
38.917623130443985,postcue,cued
35.02168967386652,postcue,cued
27.739773260413106,postcue,cued
32.0567456672916,postcue,cued
39.80285415209257,postcue,cued
48.11666324852444,postcue,cued
34.67689652604005,postcue,cued
36.83973425389345,postcue,cued
31.412418234647067,postcue,cued
37.92415166799851,postcue,cued
42.86267778460189,postcue,cued
31.071159186763836,postcue,cued
35.739984216907175,postcue,cued
34.67325578261208,postcue,cued
34.02781736672809,postcue,cued
37.77064272267567,postcue,cued
41.629668054884,postcue,cued
35.60355265214279,postcue,cued
32.9080417040897,postcue,cued
45.596251008743515,postcue,cued
38.43839860197415,postcue,cued
34.97385429966324,postcue,cued
31.788949350435303,postcue,cued
35.615751211325545,postcue,cued
35.21430479993993,postcue,cued
39.24166306617219,postcue,cued
36.99657548357724,postcue,cued
33.17199819842923,postcue,cued
39.029833005354405,postcue,cued
34.290779308093676,postcue,cued
33.4804705752795,postcue,cued
36.413212450212804,postcue,cued
34.762087416462336,postcue,cued
42.082113232841685,postcue,cued
36.02338892704501,postcue,cued
40.30545958819534,postcue,cued
40.9853715264034,postcue,cued
36.34392455231339,postcue,cued
36.73970243942304,postcue,cued
45.12913445602785,postcue,cued
34.52714745542249,postcue,cued
52.40423735081951,postcue,cued
41.315911121985444,postcue,cued
53.520579270960674,postcue,cued
43.08894093302697,postcue,cued
47.23640641138758,postcue,cued
34.092028740125,postcue,cued
41.536186011473475,postcue,cued
34.93682776420787,postcue,cued
45.044120132262414,postcue,uncued
40.41024414191278,postcue,uncued
40.45968737785579,postcue,uncued
31.52880471962283,postcue,uncued
32.02566780552427,postcue,uncued
37.036036742589026,postcue,uncued
34.648147857500675,postcue,uncued
40.557407274871395,postcue,uncued
40.672328785428014,postcue,uncued
38.613476493209724,postcue,uncued
32.03960816489384,postcue,uncued
35.69987664828201,postcue,uncued
39.897556682154494,postcue,uncued
36.12641668473807,postcue,uncued
46.650790255978194,postcue,uncued
38.62543755268516,postcue,uncued
33.65195915077606,postcue,uncued
39.09078299826081,postcue,uncued
37.36669645529289,postcue,uncued
39.85861065189682,postcue,uncued
33.920740086456256,postcue,uncued
49.43323287011561,postcue,uncued
32.99790229233352,postcue,uncued
36.68388485243613,postcue,uncued
35.421381717094775,postcue,uncued
39.76260720564662,postcue,uncued
36.94464150452826,postcue,uncued
35.49150672906871,postcue,uncued
38.380277265117094,postcue,uncued
36.685789220223036,postcue,uncued
29.070676004453148,postcue,uncued
35.70274315236607,postcue,uncued
33.92337794760213,postcue,uncued
39.54252692863549,postcue,uncued
30.658231359809548,postcue,uncued
34.067946866032784,postcue,uncued
43.867252348165266,postcue,uncued
41.27064612422698,postcue,uncued
40.9784863906282,postcue,uncued
34.95750245069275,postcue,uncued
32.061297898346815,postcue,uncued
32.97550611222586,postcue,uncued
40.625241019774485,postcue,uncued
32.1182834618034,postcue,uncued
37.90768028672109,postcue,uncued
29.825560322864334,postcue,uncued
34.35127011407119,postcue,uncued
30.666726852630237,postcue,uncued
45.337220539239325,postcue,uncued
36.21697365036817,postcue,uncued
39.21485091896025,postcue,uncued
37.43788995885136,postcue,uncued
31.928463631372875,postcue,uncued
35.27750424326562,postcue,uncued
36.4624678478444,postcue,uncued
32.381300328424665,postcue,uncued
43.74212885254,postcue,uncued
46.52085210786995,postcue,uncued
42.974550706903976,postcue,uncued
32.72392705436665,postcue,uncued
31.72424293040636,postcue,uncued
36.99746357081979,postcue,uncued
34.74811344155406,postcue,uncued
40.39010128579097,postcue,uncued
37.496124633135416,postcue,uncued
34.304733310183956,postcue,uncued
43.68782367797511,postcue,uncued
40.53054535169691,postcue,uncued
35.514068024507715,postcue,uncued
33.102412594185104,postcue,uncued
31.40427572527588,postcue,uncued
29.540609886528667,postcue,uncued
30.398323718127873,postcue,uncued
40.2125330172828,postcue,uncued
41.119376631776085,postcue,uncued
38.48121017819545,postcue,uncued
49.698462531633844,postcue,uncued
49.019025851621315,postcue,uncued
34.334493096201804,postcue,uncued
38.1834111517021,postcue,uncued
33.741369621782276,postcue,uncued
38.126871156537014,postcue,uncued
33.464640933701126,postcue,uncued
46.9085790412241,postcue,uncued
48.13641129148031,postcue,uncued
43.463171839952174,postcue,uncued
39.903929146926686,postcue,uncued
37.256736187525064,postcue,uncued
37.835633059734455,postcue,uncued
36.00653502411205,postcue,uncued
38.042820565379266,postcue,uncued
39.86181190037646,postcue,uncued
41.71546666302525,postcue,uncued
37.95331941112011,postcue,uncued
31.124569897635542,postcue,uncued
42.735313976177615,postcue,uncued
34.16884312414295,postcue,uncued
44.33334098994678,postcue,uncued
34.566666925455415,postcue,uncued
30.721150064867725,postcue,uncued
38.0717026126168,postcue,uncued
29.034357676284696,postcue,uncued
37.75466972851175,postcue,uncued
34.39004076787595,postcue,uncued
29.127086229543107,postcue,uncued
33.419011620874706,postcue,uncued
42.38707446829453,postcue,uncued
47.05346602462087,postcue,uncued
